"","CountryName","CountryCode","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","E1_Income support","E2_Debt/contract relief","E3_Fiscal measures","E4_International support","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H4_Emergency investment in healthcare","H5_Investment in vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay","Region","Population","Area (sq. mi.)","Pop. Density (per sq. mi.)","Coastline (coast/area ratio)","Net migration","Infant mortality (per 1000 births)","GDP ($ per capita)","Literacy (%)","Phones (per 1000)","Arable (%)","Crops (%)","Other (%)","Climate","Birthrate","Deathrate","Agriculture","Industry","Service"
"1","Aruba","AW",2020-01-01,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"LATIN AMER. & CARIB",71891,193,"372,5","35,49","0",589,28000,970,"516,1","10,53","0",8947,2,1103,668,"0,004","0,333","0,663"
"2","Afghanistan","AF",2020-01-01,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"ASIA (EX. NEAR EAST)",31056997,647500,"48,0","0,00","23,06",16307,700,360,"3,2","12,13","0,22",8765,1,466,2034,"0,38","0,24","0,38"
"3","Angola","AO",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,"SUB-SAHARAN AFRICA",12127071,1246700,"9,7","0,13","0",19119,1900,420,"7,8","2,41","0,24",9735,NA,4511,242,"0,096","0,658","0,246"
"4","Albania","AL",2020-01-01,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"EASTERN EUROPE",3581655,28748,"124,6","1,26","-4,93",2152,4500,865,"71,2","21,09","4,42",7449,3,1511,522,"0,232","0,188","0,579"
"5","Andorra","AD",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"WESTERN EUROPE",71201,468,"152,1","0,00","6,6",405,19000,1000,"497,2","2,22","0",9778,3,871,625,NA,NA,NA
"6","United Arab Emirates","AE",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"NEAR EAST",2602713,82880,"31,4","1,59","1,03",1451,23200,779,"475,3","0,6","2,25",9715,1,1896,44,"0,04","0,585","0,375"
"7","Argentina","AR",2020-01-01,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"LATIN AMER. & CARIB",39921833,2766890,"14,4","0,18","0,61",1518,11200,971,"220,4","12,31","0,48",8721,3,1673,755,"0,095","0,358","0,547"
"8","Australia","AU",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"OCEANIA",20264082,7686850,"2,6","0,34","3,98",469,29000,1000,"565,5","6,55","0,04",9341,1,1214,751,"0,038","0,262","0,7"
"9","Austria","AT",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,"WESTERN EUROPE",8192880,83870,"97,7","0,00","2",466,30000,980,"452,2","16,91","0,86",8223,3,874,976,"0,018","0,304","0,678"
"10","Azerbaijan","AZ",2020-01-01,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"C.W. OF IND. STATES",7961619,86600,"91,9","0,00","-4,9",8174,3400,970,"137,1","19,63","2,71",7766,1,2074,975,"0,141","0,457","0,402"
"11","Burundi","BI",2020-01-01,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"SUB-SAHARAN AFRICA",8090068,27830,"290,7","0,00","-0,06",6929,600,516,"3,4","35,05","14,02",5093,2,4222,1346,"0,463","0,203","0,334"
"12","Belgium","BE",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"WESTERN EUROPE",10379067,30528,"340,0","0,22","1,23",468,29100,980,"462,6","23,28","0,4",7632,3,1038,1027,"0,01","0,24","0,749"
"13","Burkina Faso","BF",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"SUB-SAHARAN AFRICA",13902972,274200,"50,7","0,00","0",9757,1100,266,"7,0","14,43","0,19",8538,2,4562,156,"0,322","0,196","0,482"
"14","Bangladesh","BD",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,"ASIA (EX. NEAR EAST)",147365352,144000,"1023,4","0,40","-0,71",626,1900,431,"7,3","62,11","3,07",3482,2,298,827,"0,199","0,198","0,603"
"15","Bulgaria","BG",2020-01-01,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,"EASTERN EUROPE",7385367,110910,"66,6","0,32","-4,58",2055,7600,986,"336,3","40,02","1,92",5806,3,965,1427,"0,093","0,304","0,603"
"16","Bahrain","BH",2020-01-01,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,"NEAR EAST",698585,665,"1050,5","24,21","1,05",1727,16900,891,"281,3","2,82","5,63",9155,1,178,414,"0,005","0,387","0,608"
"17","Bosnia and Herzegovina","BA",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"EASTERN EUROPE",4498976,51129,"88,0","0,04","0,31",2105,6100,NA,"215,4","13,6","2,96",8344,4,877,827,"0,142","0,308","0,55"
"18","Belize","BZ",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"LATIN AMER. & CARIB",287730,22966,"12,5","1,68","0",2569,4900,941,"115,7","2,85","1,71",9544,2,2884,572,"0,142","0,152","0,612"
"19","Bermuda","BM",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"NORTHERN AMERICA",65773,53,"1241,0","194,34","2,49",853,36000,980,"851,4","20","0",80,2,114,774,"0,01","0,1","0,89"
"20","Bolivia","BO",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"LATIN AMER. & CARIB",8989046,1098580,"8,2","0,00","-1,32",5311,2400,872,"71,9","2,67","0,19",9714,15,233,753,"0,128","0,352","0,52"
"21","Brazil","BR",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"LATIN AMER. & CARIB",188078227,8511965,"22,1","0,09","-0,03",2961,7600,864,"225,3","6,96","0,9",9215,2,1656,617,"0,084","0,4","0,516"
"22","Barbados","BB",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"LATIN AMER. & CARIB",279912,431,"649,5","22,51","-0,31",125,15700,974,"481,9","37,21","2,33",6046,2,1271,867,"0,06","0,16","0,78"
"23","Brunei","BN",2020-01-01,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,"ASIA (EX. NEAR EAST)",379444,5770,"65,8","2,79","3,59",1261,18600,939,"237,2","0,57","0,76",9867,2,1879,345,"0,036","0,561","0,403"
"24","Botswana","BW",2020-01-01,0,0,0,NA,0,NA,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,9.92,9.92,12.38,12.38,"SUB-SAHARAN AFRICA",1639833,600370,"2,7","0,00","0",5458,9000,798,"80,5","0,65","0,01",9934,1,2308,295,"0,024","0,469","0,507"
"25","Canada","CA",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,"NORTHERN AMERICA",33098932,9984670,"3,3","2,02","5,96",475,29800,970,"552,2","4,96","0,02",9502,NA,1078,78,"0,022","0,294","0,684"
"26","Switzerland","CH",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,"WESTERN EUROPE",7523934,41290,"182,2","0,00","4,05",439,32700,990,"680,9","10,42","0,61",8897,3,971,849,"0,015","0,34","0,645"
"27","Chile","CL",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,"LATIN AMER. & CARIB",16134219,756950,"21,3","0,85","0",88,9900,962,"213,0","2,65","0,42",9693,3,1523,581,"0,06","0,493","0,447"
"28","China","CN",2020-01-01,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,1,1,0,0,NA,27,0,0,0,0,0,"ASIA (EX. NEAR EAST)",1313973713,9596960,"136,9","0,15","-0,4",2418,5000,909,"266,7","15,4","1,25",8335,15,1325,697,"0,125","0,473","0,403"
"29","Cameroon","CM",2020-01-01,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,"SUB-SAHARAN AFRICA",17340702,475440,"36,5","0,08","0",6826,1800,790,"5,7","12,81","2,58",8461,15,3389,1347,"0,448","0,17","0,382"
"30","Democratic Republic of Congo","CD",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"SUB-SAHARAN AFRICA",3702314,342000,"10,8","0,05","-0,17",9386,700,838,"3,7","0,51","0,13",9936,2,4257,1293,"0,062","0,57","0,369"
"31","Colombia","CO",2020-01-01,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,"LATIN AMER. & CARIB",43593035,1138910,"38,3","0,28","-0,31",2097,6300,925,"176,2","2,42","1,67",9591,2,2048,558,"0,125","0,342","0,533"
