NAME_1;CountryCode;sub_region_gadm;;
andorra la vella;ad;andorra la vella;;
canillo;ad;canillo;;
encamp;ad;encamp;;
escaldes-engordany;ad;escaldes-engordany;;
la massana;ad;la massana;;
ordino;ad;ordino;;
sant julià de lòria;ad;sant julià de lòria;;
abu dhabi;ae;abu dhabi;;
ajman;ae;ajman;;
dubai;ae;dubai;;
fujairah;ae;fujairah;;
ras al-khaimah;ae;ras al-khaimah;;
sharjah;ae;sharjah;;
umm al-qaywayn;ae;umm al-qaywayn;;
badakhshan;af;badakhshan;;
badghis;af;badghis;;
baghlan;af;baghlan;;
balkh;af;balkh;;
bamyan;af;bamyan;;
daykundi;af;daykundi;;
farah;af;farah;;
faryab;af;faryab;;
ghazni;af;ghazni;;
ghor;af;ghor;;
hilmand;af;hilmand;;
hirat;af;hirat;;
jawzjan;af;jawzjan;;
kabul;af;kabul;;
kandahar;af;kandahar;;
kapisa;af;kapisa;;
khost;af;khost;;
kunar;af;kunar;;
kunduz;af;kunduz;;
laghman;af;laghman;;
logar;af;logar;;
nangarhar;af;nangarhar;;
nimroz;af;nimroz;;
nuristan;af;nuristan;;
paktika;af;paktika;;
paktya;af;paktya;;
panjshir;af;panjshir;;
parwan;af;parwan;;
samangan;af;samangan;;
sari pul;af;sari pul;;
takhar;af;takhar;;
uruzgan;af;uruzgan;;
wardak;af;wardak;;
zabul;af;zabul;;
barbuda;ag;barbuda;;
redonda;ag;redonda;;
saint george;ag;saint george;;
saint john;ag;saint john;;
saint mary;ag;saint mary;;
saint paul;ag;saint paul;;
saint peter;ag;saint peter;;
saint philip;ag;saint philip;;
berat;al;berat;;
dibër;al;dibër;;
durrës;al;durrës;;
elbasan;al;elbasan;;
fier;al;fier;;
gjirokastër;al;gjirokastër;;
korçë;al;korçë;;
kukës;al;kukës;;
lezhë;al;lezhë;;
shkodër;al;shkodër;;
tiranë;al;tiranë;;
vlorë;al;vlorë;;
aragatsotn;am;aragatsotn;;
