"state","CountryCode","sub_region_gadm","Region"
"encamp","ad","encamp","WESTERN EUROPE"
"escaldes-engordany","ad","escaldes-engordany","WESTERN EUROPE"
"abu dhabi","ae","abu dhabi","NEAR EAST"
"dubai","ae","dubai","NEAR EAST"
"kabul","af","kabul","ASIA (EX. NEAR EAST)"
"buenos aires","ar","buenos aires",NA
"burgenland","at","burgenland","WESTERN EUROPE"
"carinthia","at","kärnten","WESTERN EUROPE"
"lower austria","at","niederösterreich","WESTERN EUROPE"
"salzburg","at","salzburg","WESTERN EUROPE"
"styria","at","steiermark","WESTERN EUROPE"
"tyrol","at","tirol","WESTERN EUROPE"
"upper austria","at","oberösterreich","WESTERN EUROPE"
"vienna","at","wien","WESTERN EUROPE"
"vorarlberg","at","vorarlberg","WESTERN EUROPE"
"australian capital territory","au","australian capital territory","OCEANIA"
"new south wales","au","new south wales","OCEANIA"
"queensland","au","queensland","OCEANIA"
"south australia","au","south australia","OCEANIA"
"tasmania","au","tasmania","OCEANIA"
"victoria","au","victoria","OCEANIA"
"federation of bosnia and herzegovina","ba","federacija bosna i hercegovina","EASTERN EUROPE"
"dhaka division","bd","dhaka","ASIA (EX. NEAR EAST)"
"brussels","be","bruxelles","WESTERN EUROPE"
"flanders","be","vlaanderen","WESTERN EUROPE"
"wallonia","be","wallonie","WESTERN EUROPE"
"blagoevgrad province","bg","blagoevgrad","EASTERN EUROPE"
"burgas","bg","burgas","EASTERN EUROPE"
"dobrich province","bg","dobrich","EASTERN EUROPE"
"haskovo province","bg","haskovo","EASTERN EUROPE"
"kardzhali province","bg","kardzhali","EASTERN EUROPE"
"lovec","bg","lovech","EASTERN EUROPE"
"plovdiv province","bg","plovdiv","EASTERN EUROPE"
"ruse","bg","ruse","EASTERN EUROPE"
"shumen province","bg","shumen","EASTERN EUROPE"
"sliven province","bg","sliven","EASTERN EUROPE"
"smoljan","bg","smolyan","EASTERN EUROPE"
"sofia city province","bg","sofia","EASTERN EUROPE"
"stara zagora","bg","stara zagora","EASTERN EUROPE"
"varna","bg","varna","EASTERN EUROPE"
"veliko tarnovo province","bg","veliko tarnovo","EASTERN EUROPE"
"vraca","bg","vratsa","EASTERN EUROPE"
"capital governorate","bh","capital","NEAR EAST"
"state of são paulo","br","são paulo",NA
"alberta","ca","alberta","NORTHERN AMERICA"
"british columbia","ca","british columbia","NORTHERN AMERICA"
"manitoba","ca","manitoba","NORTHERN AMERICA"
"new brunswick","ca","new brunswick","NORTHERN AMERICA"
"newfoundland and labrador","ca","newfoundland and labrador","NORTHERN AMERICA"
"northwest territories","ca","northwest territories","NORTHERN AMERICA"
"nova scotia","ca","nova scotia","NORTHERN AMERICA"
"ontario","ca","ontario","NORTHERN AMERICA"
"prince edward island","ca","prince edward island","NORTHERN AMERICA"
"quebec","ca","québec","NORTHERN AMERICA"
"saskatchewan","ca","saskatchewan","NORTHERN AMERICA"
"aargau","ch","aargau","WESTERN EUROPE"
"basel city","ch","basel-stadt","WESTERN EUROPE"
"basel-landschaft","ch","basel-landschaft","WESTERN EUROPE"
"canton of bern","ch","bern","WESTERN EUROPE"
"geneva","ch","genève","WESTERN EUROPE"
"lucerne","ch","lucerne","WESTERN EUROPE"
"neuchâtel","ch","neuchâtel","WESTERN EUROPE"
"schwyz","ch","schwyz","WESTERN EUROPE"
"st. gallen","ch","sankt gallen","WESTERN EUROPE"
"thurgau","ch","thurgau","WESTERN EUROPE"
"ticino","ch","ticino","WESTERN EUROPE"
"valais","ch","valais","WESTERN EUROPE"
"vaud","ch","vaud","WESTERN EUROPE"
"zurich","ch","zürich","WESTERN EUROPE"
"abidjan autonomous district","ci","abidjan",NA
"antofagasta","cl","antofagasta","LATIN AMER. & CARIB"
"araucania","cl","araucanía","LATIN AMER. & CARIB"
"arica y parinacota","cl","arica y parinacota","LATIN AMER. & CARIB"
"atacama","cl","atacama","LATIN AMER. & CARIB"
"aysén","cl","aisén del general carlos ibáñez del campo","LATIN AMER. & CARIB"
"bio bio","cl","bío-bío","LATIN AMER. & CARIB"
"chile","cl",NA,"LATIN AMER. & CARIB"
"coquimbo","cl","coquimbo","LATIN AMER. & CARIB"
"los lagos","cl","los lagos","LATIN AMER. & CARIB"
"los ríos","cl","los ríos","LATIN AMER. & CARIB"
"magallanes and chilean antarctica","cl","magallanes y antártica chilena","LATIN AMER. & CARIB"
"maule","cl","maule","LATIN AMER. & CARIB"
"ohiggins","cl","libertador general bernardo o'higgins","LATIN AMER. & CARIB"
"santiago metropolitan region","cl","región metropolitana de santiago","LATIN AMER. & CARIB"
"tarapacá","cl","tarapacá","LATIN AMER. & CARIB"
"valparaíso","cl","valparaíso","LATIN AMER. & CARIB"
"ñuble","cl","ñuble","LATIN AMER. & CARIB"
"anhui","cn","anhui","ASIA (EX. NEAR EAST)"
"beijing","cn","beijing","ASIA (EX. NEAR EAST)"
"china","cn",NA,"ASIA (EX. NEAR EAST)"
"chongqing","cn","chongqing","ASIA (EX. NEAR EAST)"
"fujian","cn","fujian","ASIA (EX. NEAR EAST)"
"gansu","cn","gansu","ASIA (EX. NEAR EAST)"
"guangdong province","cn","guangdong","ASIA (EX. NEAR EAST)"
"guangxi","cn","guangxi","ASIA (EX. NEAR EAST)"
"guizhou","cn","guizhou","ASIA (EX. NEAR EAST)"
"hainan","cn","hainan","ASIA (EX. NEAR EAST)"
"hebei","cn","hebei","ASIA (EX. NEAR EAST)"
"heilongjiang","cn","heilongjiang","ASIA (EX. NEAR EAST)"
"henan","cn","henan","ASIA (EX. NEAR EAST)"
"hubei","cn","hubei","ASIA (EX. NEAR EAST)"
"hunan","cn","hunan","ASIA (EX. NEAR EAST)"
"inner mongolia","cn","nei mongol","ASIA (EX. NEAR EAST)"
"jiangsu","cn","jiangsu","ASIA (EX. NEAR EAST)"
"jiangxi","cn","jiangxi","ASIA (EX. NEAR EAST)"
"jilin","cn","jilin","ASIA (EX. NEAR EAST)"
"liaoning","cn","liaoning","ASIA (EX. NEAR EAST)"
"ningxia","cn","ningxia hui","ASIA (EX. NEAR EAST)"
"qinghai","cn","qinghai","ASIA (EX. NEAR EAST)"
"shaanxi","cn","shaanxi","ASIA (EX. NEAR EAST)"
"shandong","cn","shandong","ASIA (EX. NEAR EAST)"
"shanghai","cn","shanghai","ASIA (EX. NEAR EAST)"
"shanxi","cn","shanxi","ASIA (EX. NEAR EAST)"
"sichuan","cn","sichuan","ASIA (EX. NEAR EAST)"
"tianjin","cn","tianjin","ASIA (EX. NEAR EAST)"
"tibet","cn","yunnan","ASIA (EX. NEAR EAST)"
"xinjiang","cn","xinjiang uygur","ASIA (EX. NEAR EAST)"
"yunnan","cn","yunnan","ASIA (EX. NEAR EAST)"
"zhejiang","cn","zhejiang","ASIA (EX. NEAR EAST)"
"antioquia","co","antioquia","LATIN AMER. & CARIB"
"bogota","co","cundinamarca","LATIN AMER. & CARIB"
