"region","parameter","value_coefficient_10","value_p_value"
"OCEANIA","o3",0.267720066404409,0.903394323365931
"OCEANIA","pm10",1.18560324754814,0.618813590271828
"OCEANIA","pm25",1.3947308255224,0.669623614224918
"WESTERN EUROPE","co",22.0911928258939,4.4434924504275e-09
"WESTERN EUROPE","no2",1.02518912161216,0.0163633894534518
"WESTERN EUROPE","o3",0.291582241541746,0.674554105727063
"WESTERN EUROPE","pm10",0.412347737264302,0.437080477882767
"WESTERN EUROPE","pm25",0.704745261620906,0.0363377820181899
"WESTERN EUROPE","so2",-0.0559120063583691,0.247985038126245
"NORTHERN AMERICA","co",-16.7994583178878,0.0321448061769559
"NORTHERN AMERICA","no2",0.359841054776562,0.344167970403857
"NORTHERN AMERICA","o3",-0.423296031320355,0.0584461711673991
"NORTHERN AMERICA","pm10",0.468876449462393,0.339919354149549
"NORTHERN AMERICA","pm25",-0.676931518266365,0.00134833314791147
"NORTHERN AMERICA","so2",-0.540838228807204,0.000637858612576172
"LATIN AMER. & CARIB","co",-15.1088439148626,0.33571570401813
"LATIN AMER. & CARIB","no2",-0.160541644648394,0.513090957519262
"LATIN AMER. & CARIB","o3",0.35297548254664,0.407215116051682
"LATIN AMER. & CARIB","pm10",0.238153766047604,0.744927973083805
"LATIN AMER. & CARIB","pm25",-1.45077866566932,0.248408199705629
"LATIN AMER. & CARIB","so2",0.167957579916027,0.0543968435706469
"EASTERN EUROPE","co",-58.0182873068039,0.000133380963844298
"EASTERN EUROPE","no2",-4.3165242308018,2.56668201107619e-09
"EASTERN EUROPE","o3",5.60167951881846,2.9445608776849e-08
"EASTERN EUROPE","pm10",0.661906158941998,0.0771379260696602
"EASTERN EUROPE","pm25",0.963131373914902,0.38187184948054
"EASTERN EUROPE","so2",0.76078253516554,2.15459302421754e-08
"ASIA (EX. NEAR EAST)","pm25",-1.96182959322761,0.0258057028611925
"ASIA (EX. NEAR EAST)","co",-34.1223103490584,2.01830754202226e-05
"ASIA (EX. NEAR EAST)","no2",-24.7715563657892,0.00230430818489673
"ASIA (EX. NEAR EAST)","o3",-1.07413653955038,0.37646215839977
"ASIA (EX. NEAR EAST)","pm10",-3.88692731643022,8.4852334962672e-05
"ASIA (EX. NEAR EAST)","so2",-1.88870624771339,6.22226688932037e-05
