"region","parameter","subregion","value_effect"
"WESTERN EUROPE","co","ad",-75.3144673958927
"WESTERN EUROPE","co","brussels",-69.893544198359
"WESTERN EUROPE","co","flanders",-75.9628349322145
"WESTERN EUROPE","co","wallonia",-73.0273456377499
"WESTERN EUROPE","co","canton of bern",-47.1894278219295
"WESTERN EUROPE","co","schwyz",-53.9651391457799
"WESTERN EUROPE","co","ticino",-43.1863380383166
"WESTERN EUROPE","co","vaud",-44.7035981933339
"WESTERN EUROPE","co","zurich",-45.822608908126
"WESTERN EUROPE","co","bavaria",-61.3513416994022
"WESTERN EUROPE","co","berlin",-61.5659472213877
"WESTERN EUROPE","co","brandenburg",-72.3876960112064
"WESTERN EUROPE","co","bremen",-62.9466847255193
"WESTERN EUROPE","co","hamburg",-62.8090943529769
"WESTERN EUROPE","co","hesse",-62.5639583911286
"WESTERN EUROPE","co","lower saxony",-65.4051407185842
"WESTERN EUROPE","co","mecklenburg-vorpommern",-68.8380316989146
"WESTERN EUROPE","co","rhineland-palatinate",-63.6492174475219
"WESTERN EUROPE","co","saarland",-62.7391819045606
"WESTERN EUROPE","co","saxony-anhalt",-70.4736900031235
"WESTERN EUROPE","co","capital region of denmark",-41.5810893178718
"WESTERN EUROPE","co","central denmark region",-44.6731754620985
"WESTERN EUROPE","co","region of southern denmark",-45.3123091378131
"WESTERN EUROPE","co","region zealand",-46.5200328470228
"WESTERN EUROPE","co","andalusia",-53.8615843941704
"WESTERN EUROPE","co","aragon",-55.1851251122939
"WESTERN EUROPE","co","asturias",-56.0511423826846
"WESTERN EUROPE","co","balearic islands",-52.979782936214
"WESTERN EUROPE","co","basque country",-52.5864363191681
"WESTERN EUROPE","co","cantabria",-53.2016113917813
"WESTERN EUROPE","co","castile-la mancha",-56.1566890591347
"WESTERN EUROPE","co","castile and le<f3>n",-54.7831833898712
"WESTERN EUROPE","co","catalonia",-55.791997830106
"WESTERN EUROPE","co","community of madrid",-52.7608409110352
"WESTERN EUROPE","co","extremadura",-55.7746257963179
"WESTERN EUROPE","co","galicia",-57.4346986522633
"WESTERN EUROPE","co","la rioja",-55.7773800078241
"WESTERN EUROPE","co","navarre",-60.2991703505749
