"region","parameter","value_coefficient_10","value_p_value","error_prediction_coefficient_10","error_prediction_p_value","value_difference_coefficient_10","value_difference_p_value"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827
"WESTERN EUROPE","no2",0.575717325943732,0.142877521181775,NA,NA,1.33351642245403,0.000256993554312153
"WESTERN EUROPE","o3",0.191531127070111,0.780543717629233,-14.4532264243249,0.00181241394062039,0.320528866829365,0.700974846309233
"WESTERN EUROPE","pm10",1.07078990505933,0.0416411023693792,-0.167587630372374,0.963244233920633,1.98381138127318,0.00802090675730869
"WESTERN EUROPE","so2",0.0446836284410681,0.495588837079302,0.299966982436567,0.533265102923952,0.393796347290272,0.198603327657112
"WESTERN EUROPE","pm25",1.02526819186268,0.000632927023437399,-2.56021057620653,0.405672321694734,1.78914579688439,0.0030705906546275
"NEAR EAST","pm25",0.0165073917051416,0.924072945886333,0.0320386605068947,0.937168692390654,0.115706425345619,0.608174101125104
"ASIA (EX. NEAR EAST)","pm25",-1.09466178665169,0.0342752069003018,-0.455336910879631,0.217309639320388,0.536612537100727,0.644481607164661
"ASIA (EX. NEAR EAST)","co",-32.5648112471358,3.75469477301639e-06,-18.2803574578106,0.0370060248099406,-19.1743293169066,0.236973992427402
"ASIA (EX. NEAR EAST)","no2",-11.1547678624636,0.00988705287794885,NA,NA,-1.58714067161092,0.143781117229006
"ASIA (EX. NEAR EAST)","o3",-2.05365996709383,0.0215931498549556,-1.42759294174922,0.12841103966616,1.99128153221556,0.204164927029013
"ASIA (EX. NEAR EAST)","pm10",-3.78251451929334,2.04030792448883e-05,2.24727602555588,0.0037173876374719,-3.53071092370349,0.153591962404352
"ASIA (EX. NEAR EAST)","so2",-1.02986452404451,9.43617734333787e-05,0.0660485683729842,0.817923263635507,-0.359168723745187,0.0284088865937481
"OCEANIA","o3",2.94245835347433,0.122413530433272,NA,NA,NA,NA
"OCEANIA","pm10",1.95104171736097,0.0641404602097677,NA,NA,NA,NA
"OCEANIA","pm25",1.3447341924977,0.538415102206167,-3.19264968341447,0.170992838341823,NA,NA
"EASTERN EUROPE","co",-16.5600196984092,0.149640906496251,30.2292924710424,0.444385131956869,-3.42421149114854,0.785049814446778
"EASTERN EUROPE","no2",-2.24600496237127,0.00109497965768462,NA,NA,0.130242743759387,0.733129316631757
"EASTERN EUROPE","o3",2.46665427944054,0.00811743910286896,-4.04469358689659,0.000766441376670224,2.30816407341547,7.90813382997636e-05
"EASTERN EUROPE","pm25",0.468831846782534,0.584859982340526,2.57912732330148,0.0295135304046798,2.14340282559443,0.16566011119352
"EASTERN EUROPE","so2",0.224932462348865,0.0278765722466611,1.37165056991922,8.78133534694054e-07,0.105451162506363,0.605758760320038
"EASTERN EUROPE","pm10",0.758567106312521,0.00856244973685672,5.04469495114096,9.62545361333671e-06,0.217744250274484,0.651035905065901
"NORTHERN AMERICA","co",-22.9256509210502,0.00691861087514287,-6.71656240539038,0.465020564415744,-20.8673911142008,0.0133663784206197
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909
"NORTHERN AMERICA","pm10",0.636096560115944,0.210110356305845,0.735429970697693,0.450115419949403,0.211064805847358,0.822281380472053
"NORTHERN AMERICA","pm25",-0.949609144089123,0.00078242476611959,-0.872908590231664,0.00236540865332018,-1.93237874370808,5.98902743379828e-06
"NORTHERN AMERICA","so2",-0.301903712656677,0.015267552175436,0.190200604319841,0.0514091129578568,-0.473506636338583,0.00272201978309019
"LATIN AMER. & CARIB","co",-15.1871921530429,0.364745736722163,27.4530082893073,0.384370198442449,-37.5433901496228,0.270068677475959
"LATIN AMER. & CARIB","no2",-0.399559579643933,0.378763200480835,NA,NA,-1.67069855033954,0.168395314242336
"LATIN AMER. & CARIB","o3",0.705378395495827,0.0582490848120441,-1.14654772387696,0.311414094396788,3.08733804808245,0.109748474973843
"LATIN AMER. & CARIB","pm10",0.376539465113017,0.332804818002342,2.27318962724623,0.17323139783422,-1.94756069135543,0.455240968503405
"LATIN AMER. & CARIB","pm25",-1.920925301216,0.137502793487997,0.692577853636795,0.222003188222957,-4.78817320323401,0.113384773440087
"LATIN AMER. & CARIB","so2",0.228720044098443,0.0362405749565999,1.04157770687865,0.0517495357217433,0.156827892445374,0.279357449255297
