"region","parameter","subregion","value_effect","error_prediction_effect","value_difference_effect"
"WESTERN EUROPE","co","ad",-75.7572737457281,NA,NA
"WESTERN EUROPE","co","brussels",-70.2196223013405,NA,NA
"WESTERN EUROPE","co","flanders",-76.3609202958825,NA,NA
"WESTERN EUROPE","co","wallonia",-73.6316012206065,NA,NA
"WESTERN EUROPE","co","canton of bern",-47.5906332441732,NA,NA
"WESTERN EUROPE","co","schwyz",-54.4903769439888,NA,NA
"WESTERN EUROPE","co","ticino",-43.7315797756848,NA,NA
"WESTERN EUROPE","co","vaud",-45.2535376384926,NA,NA
"WESTERN EUROPE","co","zurich",-46.4452546602076,NA,NA
"WESTERN EUROPE","co","bavaria",-61.6624118121366,NA,NA
"WESTERN EUROPE","co","berlin",-62.0359506002565,NA,NA
"WESTERN EUROPE","co","brandenburg",-72.9469865142114,NA,NA
"WESTERN EUROPE","co","bremen",-63.4299508976941,NA,NA
"WESTERN EUROPE","co","hamburg",-63.1651226582429,NA,NA
"WESTERN EUROPE","co","hesse",-62.9646157416722,NA,NA
"WESTERN EUROPE","co","lower saxony",-65.8594083453143,NA,NA
"WESTERN EUROPE","co","mecklenburg-vorpommern",-69.391958542515,NA,NA
"WESTERN EUROPE","co","rhineland-palatinate",-63.8630453316753,NA,NA
"WESTERN EUROPE","co","saarland",-63.1692661931127,NA,NA
"WESTERN EUROPE","co","saxony-anhalt",-71.026937459904,NA,NA
"WESTERN EUROPE","co","capital region of denmark",-41.9509480985223,NA,NA
"WESTERN EUROPE","co","central denmark region",-45.127703324014,NA,NA
"WESTERN EUROPE","co","region of southern denmark",-45.8779440952385,NA,169.637256343644
"WESTERN EUROPE","co","region zealand",-46.9683953440451,NA,168.546805094838
"WESTERN EUROPE","co","andalusia",-54.072376228898,NA,161.442824209985
"WESTERN EUROPE","co","aragon",-55.6660396416754,NA,159.849160797207
"WESTERN EUROPE","co","asturias",-56.597385610224,NA,158.917814828659
"WESTERN EUROPE","co","balearic islands",-53.4936258122656,NA,162.021574626617
"WESTERN EUROPE","co","basque country",-53.1903004699441,NA,162.324899968939
"WESTERN EUROPE","co","cantabria",-53.7524802227132,NA,161.76272021617
"WESTERN EUROPE","co","castile-la mancha",-56.3777821335948,NA,159.137418305288
"WESTERN EUROPE","co","catalonia",-56.2007977051721,NA,159.314402733711
"WESTERN EUROPE","co","community of madrid",-53.1909087116717,NA,162.324291727211
"WESTERN EUROPE","co","es",-55.2307331450607,NA,160.284467293822
"WESTERN EUROPE","co","extremadura",-56.0575601000842,NA,159.457640338799
"WESTERN EUROPE","co","galicia",-57.8575297518067,NA,157.657670687076
"WESTERN EUROPE","co","la rioja",-56.2411350141195,NA,159.274065424763
"WESTERN EUROPE","co","navarre",-60.6355104992311,NA,154.879689939652
"WESTERN EUROPE","co","region of murcia",-58.3683741915703,NA,157.146826247313
"WESTERN EUROPE","co","valencian community",-54.8324090368566,NA,160.682791402026
"WESTERN EUROPE","co","centre-val de loire",-54.8364661285974,NA,160.678734310285
"WESTERN EUROPE","co","fr",-53.5621124554055,NA,161.953087983477
"WESTERN EUROPE","co","grand est",-54.464635830639,NA,161.050564608244
"WESTERN EUROPE","co","hauts-de-france",-51.3916386140606,NA,164.123561824822
"WESTERN EUROPE","co","pays de la loire",-53.9202139574333,NA,161.59498648145
"WESTERN EUROPE","co","county cork",-55.9902728395298,NA,159.524927599353
"WESTERN EUROPE","co","county dublin",-51.3166238152932,NA,164.19857662359
"WESTERN EUROPE","co","emilia-romagna",-57.549615375847,NA,157.965585063036
"WESTERN EUROPE","co","lazio",-53.5248423513618,NA,161.990358087521
"WESTERN EUROPE","co","lu",-47.2021124554055,NA,168.313087983477
"WESTERN EUROPE","co","north holland",-45.514961228921,NA,170.000239209962
"WESTERN EUROPE","co","oslo",-53.615348408655,NA,161.899852030228
"WESTERN EUROPE","co","aveiro district",-73.8937621812979,NA,141.621438257585
"WESTERN EUROPE","co","faro district",-71.6952308118586,NA,143.819969627024
"WESTERN EUROPE","co","lisbon",-75.1806192193133,NA,140.334581219569
"WESTERN EUROPE","co","porto district",-76.4059394933542,NA,139.109260945529
"WESTERN EUROPE","co","setubal",-76.0086501509663,NA,139.506550287917
"WESTERN EUROPE","no2","ad",49.2638761109218,NA,NA
"WESTERN EUROPE","no2","brussels",54.8015275553094,NA,NA
"WESTERN EUROPE","no2","flanders",48.6602295607673,NA,NA
"WESTERN EUROPE","no2","wallonia",51.3895486360434,NA,NA
"WESTERN EUROPE","no2","basel-landschaft",72.2234190682198,NA,NA
"WESTERN EUROPE","no2","basel city",79.1435118535217,NA,NA
"WESTERN EUROPE","no2","canton of bern",77.4305166124767,NA,NA
"WESTERN EUROPE","no2","ch",75.0390374012443,NA,NA
"WESTERN EUROPE","no2","geneva",81.8291120047153,NA,NA
"WESTERN EUROPE","no2","schwyz",70.5307729126611,NA,NA
"WESTERN EUROPE","no2","st. gallen",71.8805331856299,NA,NA
"WESTERN EUROPE","no2","thurgau",71.4340130886246,NA,NA
"WESTERN EUROPE","no2","ticino",81.2895700809651,NA,NA
"WESTERN EUROPE","no2","valais",79.7405913998548,NA,NA
"WESTERN EUROPE","no2","vaud",79.7676122181573,NA,NA
"WESTERN EUROPE","no2","zurich",78.5758951964423,NA,NA
"WESTERN EUROPE","no2","bavaria",63.3587380445133,NA,NA
"WESTERN EUROPE","no2","berlin",62.9851992563934,NA,NA
"WESTERN EUROPE","no2","brandenburg",52.0631445526889,NA,NA
"WESTERN EUROPE","no2","bremen",61.5911989589557,NA,NA
"WESTERN EUROPE","no2","hamburg",62.1225394051761,NA,NA
"WESTERN EUROPE","no2","hesse",62.0565341149776,NA,NA
"WESTERN EUROPE","no2","lower saxony",59.1617415113356,NA,NA
"WESTERN EUROPE","no2","mecklenburg-vorpommern",55.6291913141349,NA,NA
"WESTERN EUROPE","no2","north rhine-westphalia",60.6194159071188,NA,NA
"WESTERN EUROPE","no2","rhineland-palatinate",61.1581045249746,NA,NA
"WESTERN EUROPE","no2","saarland",61.8518836635372,NA,NA
"WESTERN EUROPE","no2","saxony",58.6766089808058,NA,NA
"WESTERN EUROPE","no2","saxony-anhalt",53.9942123967459,NA,NA
