"region","parameter","value_coefficient_10","value_p_value","error_prediction_coefficient_10","error_prediction_p_value","value_difference_coefficient_10","value_difference_p_value"
"WESTERN EUROPE","co",18.2258202942379,2.24567444779761e-05,NA,NA,-11.8524131786049,0.138973187028295
"WESTERN EUROPE","no2",0.630527684659185,0.113551200296845,NA,NA,1.33442618118471,0.000338103142070901
"WESTERN EUROPE","o3",0.157586666268608,0.818036628256067,-13.5646325714102,0.000177867053499831,0.053809577743455,0.945063847524026
"WESTERN EUROPE","pm10",1.08639352962293,0.0487068208818656,2.61752165192553,0.449902068769005,1.76470063504726,0.00914263394112368
"WESTERN EUROPE","so2",-0.0200021809314993,0.972526697654989,0.586018724081192,0.243446499649942,-0.162532376138414,0.856309449627107
"WESTERN EUROPE","pm25",1.34411897997576,0.00138045747899684,1.78005836957568,0.531898345138344,2.81476991061918,2.55994697665853e-06
"NEAR EAST","pm25",0.0730677267156862,0.718987101306127,0.0889289758934541,0.804081858048442,0.140807226509167,0.685310420063562
"ASIA (EX. NEAR EAST)","pm25",-1.18965394882216,0.000456931987021073,-0.770000950532027,0.00296882186116303,-0.0290017597319027,0.981799757752203
"ASIA (EX. NEAR EAST)","co",-9.7679052003647,0.048517573595643,-0.966684367120898,0.885868367509833,NA,NA
"ASIA (EX. NEAR EAST)","no2",-4.65365561741855,0.446354409917908,NA,NA,NA,NA
"ASIA (EX. NEAR EAST)","o3",-0.509527570179746,0.306858960753683,-1.29818044715786,0.0501356371692549,NA,NA
"ASIA (EX. NEAR EAST)","pm10",-1.06815094804917,0.0220039700707143,1.61592125902083,0.0399701081880179,NA,NA
"ASIA (EX. NEAR EAST)","so2",-0.578579362780449,0.316425225079539,-0.391859265613798,0.577467483733051,NA,NA
"OCEANIA","o3",3.0552981137764,0.0978643847991308,NA,NA,NA,NA
"OCEANIA","pm10",1.92580514506584,0.0702434813888367,NA,NA,NA,NA
"OCEANIA","pm25",2.10044098102614,0.478618985199127,-3.8253589105109,0.133231259306829,NA,NA
"EASTERN EUROPE","co",11.7517628784075,0.257283372257622,56.4460381394995,0.00016235541580677,-20.9647426182608,0.284683351786797
"EASTERN EUROPE","no2",-0.303847685833863,0.609084240243817,NA,NA,-0.128692030667296,0.745719462260245
"EASTERN EUROPE","o3",-0.0905337297800985,0.89798442144323,-4.6800245874911,6.86796263520774e-05,1.5560496492533,0.127008536471436
"EASTERN EUROPE","pm25",0.520284905880608,0.498435004414905,2.2921642107663,0.0228793376249874,-0.652207416987454,0.642910268669612
"EASTERN EUROPE","so2",0.0906486524232538,0.520494914200712,0.949760254343696,5.99575253257775e-05,-0.0298011314422899,0.865292483262486
"EASTERN EUROPE","pm10",0.0621316263414753,0.901393250331558,3.45803017123631,0.00104163449269406,-0.0182556740033602,0.975412588845984
"NORTHERN AMERICA","co",-33.516951102131,0.00345293787273949,-15.0684120369587,0.21636037670065,-4.5426782171989,0.590182144183196
"NORTHERN AMERICA","no2",0.122027803664762,0.722296468777482,NA,NA,-0.116389304265165,0.839452123496503
"NORTHERN AMERICA","o3",-0.449146043682869,0.110923059780831,-0.0571605557448078,0.907023236053548,-3.04560927717934,2.23518016054e-05
"NORTHERN AMERICA","pm10",1.06697225904004,0.0964039107099799,1.169186281741,0.358792721815817,0.138786877980853,0.914301362849988
"NORTHERN AMERICA","pm25",-1.64634509528815,2.363111251141e-05,-1.52409212910219,2.03334396921474e-05,-3.18061656470472,5.6068687336303e-09
"NORTHERN AMERICA","so2",-0.430290069509658,0.00494201127462144,0.0655411018659453,0.629544841515326,-0.666473136841344,0.00274578013950315
"LATIN AMER. & CARIB","co",-8.79099856755319,0.152868954579627,5.53660252412746,0.435411922153329,-24.1492789089846,0.0692910752491264
"LATIN AMER. & CARIB","no2",-0.192143309955122,0.313895795341442,NA,NA,-0.593758043076909,0.143071982398671
"LATIN AMER. & CARIB","o3",0.658470435898301,0.000795238849713732,0.36609513101961,0.352791237904044,2.21067673650304,0.00846996089725732
"LATIN AMER. & CARIB","pm10",0.239931225427006,0.0849922375022932,1.69673027833912,0.0272425893375185,-1.6152664098792,0.031618199080363
"LATIN AMER. & CARIB","pm25",-0.691515304985059,0.300533011589382,0.383163348132705,0.29039959393195,-2.82577168677438,0.0392347807751284
"LATIN AMER. & CARIB","so2",0.0301701405535881,0.548052609154318,0.426143893929084,0.0346011752970818,-0.194186695937604,0.0332485956091138
