"region","parameter","subregion","value_effect","error_prediction_effect","value_difference_effect"
"WESTERN EUROPE","co","ad",-75.7572629609666,NA,NA
"WESTERN EUROPE","co","brussels",-70.219611516579,NA,NA
"WESTERN EUROPE","co","flanders",-76.3609095111211,NA,NA
"WESTERN EUROPE","co","wallonia",-73.631590435845,NA,NA
"WESTERN EUROPE","co","canton of bern",-47.5906224594117,NA,NA
"WESTERN EUROPE","co","schwyz",-54.4903661592273,NA,NA
"WESTERN EUROPE","co","ticino",-43.7315689909233,NA,NA
"WESTERN EUROPE","co","vaud",-45.2535268537312,NA,NA
"WESTERN EUROPE","co","zurich",-46.4452438754461,NA,NA
"WESTERN EUROPE","co","bavaria",-61.6624010273752,NA,NA
"WESTERN EUROPE","co","berlin",-62.035939815495,NA,NA
"WESTERN EUROPE","co","brandenburg",-72.94697572945,NA,NA
"WESTERN EUROPE","co","bremen",-63.4299401129327,NA,NA
"WESTERN EUROPE","co","hamburg",-63.1651118734815,NA,NA
"WESTERN EUROPE","co","hesse",-62.9646049569108,NA,NA
"WESTERN EUROPE","co","lower saxony",-65.8593975605529,NA,NA
"WESTERN EUROPE","co","mecklenburg-vorpommern",-69.3919477577535,NA,NA
"WESTERN EUROPE","co","rhineland-palatinate",-63.8630345469138,NA,NA
"WESTERN EUROPE","co","saarland",-63.1692554083512,NA,NA
"WESTERN EUROPE","co","saxony-anhalt",-71.0269266751425,NA,NA
"WESTERN EUROPE","co","capital region of denmark",-41.9509373137608,NA,NA
"WESTERN EUROPE","co","central denmark region",-45.1276925392525,NA,NA
"WESTERN EUROPE","co","region of southern denmark",-45.8779333104771,NA,169.637256343644
"WESTERN EUROPE","co","region zealand",-46.9683845592836,NA,168.546805094838
"WESTERN EUROPE","co","andalusia",-54.0723654441366,NA,161.442824209985
"WESTERN EUROPE","co","aragon",-55.6660288569139,NA,159.849160797207
"WESTERN EUROPE","co","asturias",-56.5973748254626,NA,158.917814828659
"WESTERN EUROPE","co","balearic islands",-53.4936150275041,NA,162.021574626617
"WESTERN EUROPE","co","basque country",-53.1902896851827,NA,162.324899968939
"WESTERN EUROPE","co","cantabria",-53.7524694379517,NA,161.76272021617
"WESTERN EUROPE","co","castile-la mancha",-56.3777713488333,NA,159.137418305288
"WESTERN EUROPE","co","catalonia",-56.2007869204107,NA,159.314402733711
"WESTERN EUROPE","co","community of madrid",-53.1908979269103,NA,162.324291727211
"WESTERN EUROPE","co","es",-55.2307223602992,NA,160.284467293822
"WESTERN EUROPE","co","extremadura",-56.0575493153228,NA,159.457640338799
"WESTERN EUROPE","co","galicia",-57.8575189670453,NA,157.657670687076
"WESTERN EUROPE","co","la rioja",-56.2411242293581,NA,159.274065424763
"WESTERN EUROPE","co","navarre",-60.6354997144697,NA,154.879689939652
"WESTERN EUROPE","co","region of murcia",-58.3683634068088,NA,157.146826247313
"WESTERN EUROPE","co","valencian community",-54.8323982520952,NA,160.682791402026
"WESTERN EUROPE","co","centre-val de loire",-54.8364553438359,NA,160.678734310285
"WESTERN EUROPE","co","fr",-53.5621016706441,NA,161.953087983477
"WESTERN EUROPE","co","grand est",-54.4646250458776,NA,161.050564608244
"WESTERN EUROPE","co","hauts-de-france",-51.3916278292991,NA,164.123561824822
"WESTERN EUROPE","co","pays de la loire",-53.9202031726718,NA,161.59498648145
"WESTERN EUROPE","co","county cork",-55.9902620547683,NA,159.524927599353
"WESTERN EUROPE","co","county dublin",-51.3166130305318,NA,164.19857662359
"WESTERN EUROPE","co","emilia-romagna",-57.5496045910855,NA,157.965585063036
"WESTERN EUROPE","co","lazio",-53.5248315666003,NA,161.990358087521
"WESTERN EUROPE","co","lu",-47.2021016706441,NA,168.313087983477
"WESTERN EUROPE","co","north holland",-45.5149504441596,NA,170.000239209962
"WESTERN EUROPE","co","oslo",-53.6153376238936,NA,161.899852030228
"WESTERN EUROPE","co","aveiro district",-73.8937513965364,NA,141.621438257585
"WESTERN EUROPE","co","faro district",-71.6952200270971,NA,143.819969627024
"WESTERN EUROPE","co","lisbon",-75.1806084345519,NA,140.334581219569
"WESTERN EUROPE","co","porto district",-76.4059287085928,NA,139.109260945529
"WESTERN EUROPE","co","setubal",-76.0086393662048,NA,139.506550287917
"WESTERN EUROPE","no2","ad",49.2638768453423,NA,NA
"WESTERN EUROPE","no2","brussels",54.8015282897299,NA,NA
"WESTERN EUROPE","no2","flanders",48.6602302951878,NA,NA
"WESTERN EUROPE","no2","wallonia",51.3895493704639,NA,NA
"WESTERN EUROPE","no2","basel-landschaft",72.2234198026402,NA,NA
"WESTERN EUROPE","no2","basel city",79.1435125879422,NA,NA
"WESTERN EUROPE","no2","canton of bern",77.4305173468972,NA,NA
"WESTERN EUROPE","no2","ch",75.0390381356648,NA,NA
"WESTERN EUROPE","no2","geneva",81.8291127391358,NA,NA
"WESTERN EUROPE","no2","schwyz",70.5307736470816,NA,NA
"WESTERN EUROPE","no2","st. gallen",71.8805339200504,NA,NA
"WESTERN EUROPE","no2","thurgau",71.4340138230451,NA,NA
"WESTERN EUROPE","no2","ticino",81.2895708153856,NA,NA
"WESTERN EUROPE","no2","valais",79.7405921342753,NA,NA
"WESTERN EUROPE","no2","vaud",79.7676129525777,NA,NA
"WESTERN EUROPE","no2","zurich",78.5758959308628,NA,NA
"WESTERN EUROPE","no2","bavaria",63.3587387789337,NA,NA
"WESTERN EUROPE","no2","berlin",62.9851999908139,NA,NA
"WESTERN EUROPE","no2","brandenburg",52.0631452871094,NA,NA
"WESTERN EUROPE","no2","bremen",61.5911996933762,NA,NA
"WESTERN EUROPE","no2","hamburg",62.1225401395966,NA,NA
"WESTERN EUROPE","no2","hesse",62.0565348493981,NA,NA
"WESTERN EUROPE","no2","lower saxony",59.161742245756,NA,NA
"WESTERN EUROPE","no2","mecklenburg-vorpommern",55.6291920485554,NA,NA
"WESTERN EUROPE","no2","north rhine-westphalia",60.6194166415393,NA,NA
"WESTERN EUROPE","no2","rhineland-palatinate",61.1581052593951,NA,NA
"WESTERN EUROPE","no2","saarland",61.8518843979577,NA,NA
"WESTERN EUROPE","no2","saxony",58.6766097152263,NA,NA
"WESTERN EUROPE","no2","saxony-anhalt",53.9942131311664,NA,NA
"WESTERN EUROPE","no2","schleswig-holstein",59.2284102785746,NA,NA
"WESTERN EUROPE","no2","thuringia",51.4330222886917,NA,NA
"WESTERN EUROPE","no2","capital region of denmark",83.0702024925481,NA,NA
"WESTERN EUROPE","no2","central denmark region",79.8934472670564,NA,74.8831972317988
"WESTERN EUROPE","no2","north denmark region",76.048482401669,NA,71.0382323664114
"WESTERN EUROPE","no2","region of southern denmark",79.1432064958318,NA,74.1329564605742
"WESTERN EUROPE","no2","region zealand",78.0527552470253,NA,73.0425052117676
"WESTERN EUROPE","no2","andalusia",71.9739956963755,NA,66.9637456611179
"WESTERN EUROPE","no2","aragon",69.355110949395,NA,64.3448609141374
"WESTERN EUROPE","no2","asturias",68.4237649808463,NA,63.4135149455887
"WESTERN EUROPE","no2","balearic islands",71.510347384327,NA,66.5000973490693
"WESTERN EUROPE","no2","basque country",71.8308501211262,NA,66.8206000858686
"WESTERN EUROPE","no2","canary islands",70.989162705345,NA,65.9789126700874
"WESTERN EUROPE","no2","cantabria",71.2686703683572,NA,66.2584203330996
"WESTERN EUROPE","no2","castile-la mancha",72.0396904345834,NA,67.0294403993258
"WESTERN EUROPE","no2","catalonia",71.9489279003753,NA,66.9386778651176
"WESTERN EUROPE","no2","community of madrid",71.8302418793986,NA,66.819991844141
"WESTERN EUROPE","no2","es",70.0522639421164,NA,65.0420139068588
"WESTERN EUROPE","no2","extremadura",68.9635904909861,NA,63.9533404557285
"WESTERN EUROPE","no2","galicia",67.1636208392636,NA,62.153370804006
"WESTERN EUROPE","no2","la rioja",68.4336593977525,NA,63.4234093624948
"WESTERN EUROPE","no2","navarre",63.9185127327285,NA,58.9082626974709
"WESTERN EUROPE","no2","region of murcia",67.0075449253064,NA,61.9972948900488
"WESTERN EUROPE","no2","valencian community",70.1887415542137,NA,65.1784915189561
"WESTERN EUROPE","no2","central finland",60.4455385113707,NA,55.4352884761131
"WESTERN EUROPE","no2","kymenlaakso",58.9434081968605,NA,53.9331581616029
"WESTERN EUROPE","no2","lapland",62.4625875469628,NA,57.4523375117051
"WESTERN EUROPE","no2","northern ostrobothnia",59.3294325232591,NA,54.3191824880015
"WESTERN EUROPE","no2","northern savonia",58.1672358411717,NA,53.156985805914
"WESTERN EUROPE","no2","ostrobothnia",56.8869789175137,NA,51.876728882256
"WESTERN EUROPE","no2","pirkanmaa",59.8986099199819,NA,54.8883598847242
"WESTERN EUROPE","no2","south karelia",59.0609774484046,NA,54.050727413147
"WESTERN EUROPE","no2","southwest finland",57.4055978942903,NA,52.3953478590326
"WESTERN EUROPE","no2","uusimaa",61.7777875548973,NA,56.7675375196397
"WESTERN EUROPE","no2","brittany",68.8076296721633,NA,63.7973796369057
"WESTERN EUROPE","no2","centre-val de loire",70.184684462473,NA,65.1744344272154
"WESTERN EUROPE","no2","corsica",70.5309625279261,NA,65.5207124926685
"WESTERN EUROPE","no2","fr",71.4590381356648,NA,66.4487881004072
"WESTERN EUROPE","no2","grand est",70.5565147604313,NA,65.5462647251737
"WESTERN EUROPE","no2","hauts-de-france",73.6295119770098,NA,68.6192619417521
"WESTERN EUROPE","no2","normandy",71.0119389630589,NA,66.0016889278013
"WESTERN EUROPE","no2","nouvelle-aquitaine",70.2242742310748,NA,65.2140241958172
"WESTERN EUROPE","no2","occitanie",71.8751608436744,NA,66.8649108084168
"WESTERN EUROPE","no2","pays de la loire",71.1009366336371,NA,66.0906865983794
"WESTERN EUROPE","no2","gb",60.9577478130842,NA,55.9474977778265
"WESTERN EUROPE","no2","county cork",69.0308777515406,NA,64.0206277162829
"WESTERN EUROPE","no2","county dublin",73.7045267757771,NA,68.6942767405195
"WESTERN EUROPE","no2","emilia-romagna",67.4715352152234,NA,62.4612851799657
"WESTERN EUROPE","no2","lazio",71.4963082397086,NA,66.486058204451
"WESTERN EUROPE","no2","lu",77.8190381356648,NA,72.8087881004072
"WESTERN EUROPE","no2","drenthe",71.2968375718498,NA,66.2865875365922
"WESTERN EUROPE","no2","flevoland",75.8108711277962,NA,70.8006210925386
