"state","sub_region_gadm"
"af","badakhshan; badghis; baghlan; balkh; bamyan; daykundi; farah; faryab; ghazni; ghor; hilmand; hirat; jawzjan; kabul; kandahar; kapisa; khost; kunar; kunduz; laghman; logar; nangarhar; nimroz; nuristan; paktika; paktya; panjshir; parwan; samangan; sari pul; takhar; uruzgan; wardak; zabul"
"ao","bengo; benguela; bié; cabinda; cuando cubango; cuanza norte; cuanza sul; cunene; huambo; huíla; luanda; lunda norte; lunda sul; malanje; moxico; namibe; uíge; zaire"
"ax","brändö; eckerö; finström; föglö; geta; hammarland; jomala; kökar; kumlinge; lemland; lumparland; mariehamn; saltvik; sottunga; sund; vårdö"
"al","berat; dibër; durrës; elbasan; fier; gjirokastër; korçë; kukës; lezhë; shkodër; tiranë; vlorë"
"ad","andorra la vella; canillo; encamp; escaldes-engordany; la massana; ordino; sant julià de lòria"
"ae","abu dhabi; ajman; dubai; fujairah; ras al-khaimah; sharjah; umm al-qaywayn"
"ar","buenos aires; catamarca; chaco; chubut; ciudad de buenos aires; córdoba; corrientes; entre ríos; formosa; jujuy; la pampa; la rioja; mendoza; misiones; neuquén; río negro; salta; san juan; san luis; santa cruz; santa fe; santiago del estero; tierra del fuego; tucumán"
"am","aragatsotn; ararat; armavir; erevan; gegharkunik; kotayk; lori; shirak; syunik; tavush; vayots dzor"
"as","eastern; manu'a; unorganized; western"
"tf","îles crozet; îles saint paul et amsterdam; kerguelen"
"at","îles éparses; burgenland; kärnten; niederösterreich; oberösterreich; salzburg; steiermark; tirol; vorarlberg; wien"
"ag","barbuda; redonda; saint george; saint john; saint mary; saint paul; saint peter; saint philip"
"au","ashmore and cartier islands; australian capital territory; coral sea islands territory; jervis bay territory; new south wales; northern territory; queensland; south australia; tasmania; victoria; western australia"
"az","absheron; aran; daglig-shirvan; ganja-qazakh; kalbajar-lachin; lankaran; nakhchivan; quba-khachmaz; shaki-zaqatala; yukhari-karabakh"
"bi","bubanza; bujumbura mairie; bujumbura rural; bururi; cankuzo; cibitoke; gitega; karuzi; kayanza; kirundo; makamba; muramvya; muyinga; mwaro; ngozi; rutana; ruyigi"
"be","bruxelles; vlaanderen; wallonie; bonaire; saba; sint eustatius"
"bj","alibori; atakora; atlantique; borgou; collines; donga; kouffo; littoral; mono; ouémé; plateau; zou"
"bf","boucle du mouhoun; cascades; centre; centre-est; centre-nord; centre-ouest; centre-sud; est; haut-bassins; nord; plateau-central; sahel; sud-ouest"
"bd","barisal; chittagong; dhaka; khulna; rajshahi; rangpur; sylhet"
"bg","blagoevgrad; burgas; dobrich; gabrovo; grad sofiya; haskovo; kardzhali; kyustendil; lovech; montana; pazardzhik; pernik; pleven; plovdiv; razgrad; ruse; shumen; silistra; sliven; smolyan; sofia; stara zagora; targovishte; varna; veliko tarnovo; vidin; vratsa; yambol"
"bh","capital; central; muharraq; northern; southern"
"bs","acklins; berry islands; biminis; black point; cat island; central abaco; central andros; central eleuthera; city of freeport; crooked island; east grand bahama; exuma; grand cay; harbour island; hope town; inagua; long island; mangrove cay; mayaguana; moore's island; new providence; north abaco; north andros; north eleuthera; ragged island; rum cay; san salvador; south abaco; south andros; south eleuthera; spanish wells; west grand bahama"
"ba","brcko; federacija bosna i hercegovina; repuplika srpska"
"by","brest; homyel'; hrodna; mahilyow; minsk; vitsyebsk"
"bz","belize; cayo; corozal; orange walk; stann creek; toledo"
"bm","devonshire; hamilton; hamilton municipality; paget; pembroke; saint george's; saint george municipality; sandys; smiths; southampton; warwick"
"bo","chuquisaca; cochabamba; el beni; la paz; oruro; pando; potosí; santa cruz; tarija"
"br","acre; alagoas; amapá; amazonas; bahia; ceará; distrito federal; espírito santo; goiás; maranhão; mato grosso; mato grosso do sul; minas gerais; pará; paraíba; paraná; pernambuco; piauí; rio de janeiro; rio grande do norte; rio grande do sul; rondônia; roraima; santa catarina; são paulo; sergipe; tocantins"
"bb","christ church; saint andrew; saint george; saint james; saint john; saint joseph; saint lucy; saint michael; saint peter; saint philip; saint thomas"
"bn","belait; brunei and muara; temburong; tutong"
"bt","bumthang; chhukha; dagana; gasa; haa; lhuentse; monggar; paro; pemagatshel; punakha; samdrupjongkhar; samtse; sarpang; thimphu; trashigang; trongsa; tsirang; wangduephodrang; yangtse; zhemgang"
"bw","central; chobe; francistown; gaborone; ghanzi; jwaneng; kgalagadi; kgatleng; kweneng; lobatse; north-east; north-west; selibe phikwe; south-east; southern; sowa"
"cf","bamingui-bangoran; bangui; basse-kotto; haut-mbomou; haute-kotto; kémo; lobaye; mambéré-kadéï; mbomou; nana-grébizi; nana-mambéré; ombella-m'poko; ouaka; ouham; ouham-pendé; sangha-mbaéré; vakaga"
"ca","alberta; british columbia; manitoba; new brunswick; newfoundland and labrador; northwest territories; nova scotia; nunavut; ontario; prince edward island; québec; saskatchewan; yukon"
"ch","aargau; appenzell ausserrhoden; appenzell innerrhoden; basel-landschaft; basel-stadt; bern; fribourg; genève; glarus; graubünden; jura; lucerne; neuchâtel; nidwalden; obwalden; sankt gallen; schaffhausen; schwyz; solothurn; thurgau; ticino; uri; valais; vaud; zug; zürich"
"cl","aisén del general carlos ibáñez del campo; antofagasta; araucanía; arica y parinacota; atacama; bío-bío; coquimbo; libertador general bernardo o'higgins; los lagos; los ríos; magallanes y antártica chilena; maule; ñuble; región metropolitana de santiago; tarapacá; valparaíso"
"cn","anhui; beijing; chongqing; fujian; gansu; guangdong; guangxi; guizhou; hainan; hebei; heilongjiang; henan; hubei; hunan; jiangsu; jiangxi; jilin; liaoning; nei mongol; ningxia hui; qinghai; shaanxi; shandong; shanghai; shanxi; sichuan; tianjin; xinjiang uygur; xizang; yunnan; zhejiang"
"ci","abidjan; bas-sassandra; comoé; denguélé; gôh-djiboua; lacs; lagunes; montagnes; sassandra-marahoué; savanes; vallée du bandama; woroba; yamoussoukro; zanzan"
"cm","adamaoua; centre; est; extrême-nord; littoral; nord; nord-ouest; ouest; sud; sud-ouest"
"cd","bas-uélé; équateur; haut-katanga; haut-lomami; haut-uélé; ituri; kasaï; kasaï-central; kasaï-oriental; kinshasa; kongo-central; kwango; kwilu; lomami; lualaba; maï-ndombe; maniema; mongala; nord-kivu; nord-ubangi; sankuru; sud-kivu; sud-ubangi; tanganyika; tshopo; tshuapa"
"cg","bouenza; brazzaville; cuvette; cuvette-ouest; kouilou; lékoumou; likouala; niari; plateaux; pointe noire; pool; sangha"
"co","amazonas; antioquia; arauca; atlántico; bolívar; boyacá; caldas; caquetá; casanare; cauca; cesar; chocó; córdoba; cundinamarca; guainía; guaviare; huila; la guajira; magdalena; meta; nariño; norte de santander; putumayo; quindío; risaralda; san andrés y providencia; santander; sucre; tolima; valle del cauca; vaupés; vichada"
"km","mwali; njazídja; nzwani"
"cv","boa vista; brava; maio; mosteiros; paúl; porto novo; praia; ribeira brava; ribeira grande; ribeira grande de santiago; sal; santa catarina; santa catarina do fogo ; santa cruz; são domingos; são filipe; são lourenço dos órgãos; são miguel; são salvador do mundo; são vicente; tarrafal; tarrafal de são nicolau"
"cr","alajuela; cartago; guanacaste; heredia; limón; puntarenas; san josé"
"cu","camagüey; ciego de ávila; cienfuegos; ciudad de la habana; granma; guantánamo; holguín; isla de la juventud; la habana; las tunas; matanzas; mayabeque; pinar del río; sancti spíritus; santiago de cuba; villa clara"
"ky","bodden town; cayman brac; east end; george town; little cayman; north side; west bay"
"cy","famagusta; larnaca; limassol; nicosia; paphos; gazimagusa; girne; güzelyurt; iskele; nicosia"
"cz","jihoceský; jihomoravský; karlovarský; kraj vysocina; královéhradecký; liberecký; moravskoslezský; olomoucký; pardubický; plzenský; prague; stredoceský; ústecký; zlínský"
"de","baden-württemberg; bayern; berlin; brandenburg; bremen; hamburg; hessen; mecklenburg-vorpommern; niedersachsen; nordrhein-westfalen; rheinland-pfalz; saarland; sachsen; sachsen-anhalt; schleswig-holstein; thüringen"
"dj","ali sabieh; dikhil; djibouti; obock; tadjourah"
"dm","saint andrew; saint david; saint george; saint john; saint joseph; saint luke; saint mark; saint patrick; saint paul; saint peter"
"dk","hovedstaden; midtjylland; nordjylland; sjælland; syddanmark"
"do","azua; bahoruco; barahona; dajabón; distrito nacional; duarte; el seybo; espaillat; hato mayor; independencia; la altagracia; la estrelleta; la romana; la vega; maría trinidad sánchez; monseñor nouel; monte cristi; monte plata; pedernales; peravia; puerto plata; salcedo; samaná; san cristóbal; san josé de ocoa; san juan; san pedro de macorís; sánchez ramírez; santiago; santiago rodríguez; santo domingo; valverde"
"dz","adrar; aïn defla; aïn témouchent; alger; annaba; batna; béchar; béjaïa; biskra; blida; bordj bou arréridj; bouira; boumerdès; chlef; constantine; djelfa; el bayadh; el oued; el tarf; ghardaïa; guelma; illizi; jijel; khenchela; laghouat; m'sila; mascara; médéa; mila; mostaganem; naâma; oran; ouargla; oum el bouaghi; relizane; saïda; sétif; sidi bel abbès; skikda; souk ahras; tamanghasset; tébessa; tiaret; tindouf; tipaza; tissemsilt; tizi ouzou; tlemcen"
"ec","azuay; bolivar; cañar; carchi; chimborazo; cotopaxi; el oro; esmeraldas; galápagos; guayas; imbabura; loja; los rios; manabi; morona santiago; napo; orellana; pastaza; pichincha; santa elena; santo domingo de los tsachilas; sucumbios; tungurahua; zamora chinchipe"
"eg","ad daqahliyah; al bahr al ahmar; al buhayrah; al fayyum; al gharbiyah; al iskandariyah; al isma`iliyah; al jizah; al minufiyah; al minya; al qahirah; al qalyubiyah; al uqsur; al wadi al jadid; as suways; ash sharqiyah; aswan; asyut; bani suwayf; bur sa`id; dumyat; janub sina'; kafr ash shaykh; matrouh; qina; shamal sina'; suhaj"
"er","anseba; debub; debubawi keyih bahri; gash barka; maekel; semenawi keyih bahri"
"eh","boujdour; es semara; laayoune; oued el dahab"
"es","andalucía; aragón; cantabria; castilla-la mancha; castilla y león; cataluña; ceuta y melilla; comunidad de madrid; comunidad foral de navarra; comunidad valenciana; extremadura; galicia; islas baleares; islas canarias; la rioja; país vasco; principado de asturias; región de murcia; peipsi"
"ee","harju; hiiu; ida-viru; järva; jõgeva; lääne; lääne-viru; pärnu; põlva; rapla; saare; tartu; valga; viljandi; võru"
"et","addis abeba; afar; amhara; benshangul-gumaz; dire dawa; gambela peoples; harari people; oromia; somali; southern nations, nationalities and peoples; tigray"
"fi","eastern finland; lapland; oulu; southern finland; western finland"
"fj","central; eastern; northern; rotuma; western"
"fr","auvergne-rhône-alpes; bourgogne-franche-comté; bretagne; centre-val de loire; corse; grand est; hauts-de-france; île-de-france; normandie; nouvelle-aquitaine; occitanie; pays de la loire; provence-alpes-côte d'azur"
"fo","eysturoyar; norderøerne; sandoyar; streymoyar; suðuroyar; vågø"
"fm","chuuk; kosrae; pohnpei; yap"
"ga","estuaire; haut-ogooué; moyen-ogooué; ngounié; nyanga; ogooué-ivindo; ogooué-lolo; ogooué-maritime; wouleu-ntem"
"gb","england; northern ireland; scotland; wales"
"ge","abkhazia; ajaria; guria; imereti; kakheti; kvemo kartli; mtskheta-mtianeti; racha-lechkhumi-kvemo svaneti; samegrelo-zemo svaneti; samtskhe-javakheti; shida kartli; tbilisi"
"gg","alderney; brecqhou; castel; forest; herm; jethou; saint andrew; saint martin; saint peter port; saint pierre du bois; saint sampson; saint saviour; sark; torteval; vale"
"gh","ashanti; brong ahafo; central; eastern; greater accra; northern; upper east; upper west; volta; western"
"gi","boké; conakry; faranah; kankan; kindia; labé; mamou; nzérékoré"
"gp","basse-terre; pointe-à-pitre"
"gm","banjul; lower river; maccarthy island; north bank; upper river; western"
"gw","bafatá; biombo; bissau; bolama; cacheu; gabú; oio; quinara; tombali"
"gq","annobón; bioko norte; bioko sur; centro sur; kié-ntem; litoral; wele-nzas"
"gr","aegean; athos; attica; crete; epirus and western macedonia; macedonia and thrace; peloponnese, western greece and the ionian islands; thessaly and central greece; saint clement"
"gd","carriacou; saint andrew; saint david; saint george; saint john; saint mark; saint patrick"
"gl","kujalleq; northeast greenland national park; qaasuitsup; qeqqata; sermersooq"
"gt","alta verapaz; baja verapaz; chimaltenango; chiquimula; el progreso; escuintla; guatemala; huehuetenango; izabal; jalapa; jutiapa; petén; quezaltenango; quiché; retalhuleu; sacatepéquez; san marcos; santa rosa; sololá; suchitepéquez; totonicapán; zacapa"
"gf","cayenne; saint-laurent-du-maroni"
"gu","agana heights; agat; asan; barrigada; chalan-pago-ordot; dededo; hagåtña; inarajan; mangilao; merizo; mongmong-toto-maite; piti; santa rita; sinajana; talofofo; tamuning; umatac; yigo; yona"
"gy","barima-waini; cuyuni-mazaruni; demerara-mahaica; east berbice-corentyne; essequibo islands-west demerara; mahaica-berbice; pomeroon-supenaam; potaro-siparuni; upper demerara-berbice; upper takutu-upper essequibo"
"hk","central and western; eastern; islands; kowloon city; kwai tsing; kwun tong; north; sai kung; sha tin; sham shui po; southern; tai po; tsuen wan; tuen mun; wan chai; wong tai sin; yau tsim mong; yuen long"
"hn","atlántida; choluteca; colón; comayagua; copán; cortés; el paraíso; francisco morazán; gracias a dios; intibucá; islas de la bahía; la paz; lempira; ocotepeque; olancho; santa bárbara; valle; yoro"
"hr","bjelovarska-bilogorska; brodsko-posavska; dubrovacko-neretvanska; grad zagreb; istarska; karlovacka; koprivnicko-križevacka; krapinsko-zagorska; licko-senjska; medimurska; osjecko-baranjska; požeško-slavonska; primorsko-goranska; šibensko-kninska; sisacko-moslavacka; splitsko-dalmatinska; varaždinska; viroviticko-podravska; vukovarsko-srijemska; zadarska; zagrebacka"
"ht","centre; grand'anse; l'artibonite; nippes; nord; nord-est; nord-ouest; ouest; sud; sud-est"
"hu","bács-kiskun; baranya; békés; borsod-abaúj-zemplén; budapest; csongrád; fejér; gyor-moson-sopron; hajdú-bihar; heves; jász-nagykun-szolnok; komárom-esztergom; nógrád; pest; somogy; szabolcs-szatmár-bereg; tolna; vas; veszprém; zala"
"id","aceh; bali; bangka belitung; banten; bengkulu; gorontalo; jakarta raya; jambi; jawa barat; jawa tengah; jawa timur; kalimantan barat; kalimantan selatan; kalimantan tengah; kalimantan timur; kepulauan riau; lampung; maluku; maluku utara; nusa tenggara barat; nusa tenggara timur; papua; papua barat; riau; sulawesi barat; sulawesi selatan; sulawesi tengah; sulawesi tenggara; sulawesi utara; sumatera barat; sumatera selatan; sumatera utara; yogyakarta"
"im","ayre; garff; glenfaba; michael; middle; rushen"
"in","andaman and nicobar; andhra pradesh; arunachal pradesh; assam; bihar; chandigarh; chhattisgarh; dadra and nagar haveli; daman and diu; goa; gujarat; haryana; himachal pradesh; jammu and kashmir; jharkhand; karnataka; kerala; lakshadweep; madhya pradesh; maharashtra; manipur; meghalaya; mizoram; nagaland; nct of delhi; odisha; puducherry; punjab; rajasthan; sikkim; tamil nadu; telangana; tripura; uttar pradesh; uttarakhand; west bengal"
"ie","carlow; cavan; clare; cork; donegal; dublin; galway; kerry; kildare; kilkenny; laoighis; leitrim; limerick; longford; louth; mayo; meath; monaghan; offaly; roscommon; sligo; tipperary; waterford; westmeath; wexford; wicklow"
"ir","alborz; ardebil; bushehr; chahar mahall and bakhtiari; east azarbaijan; esfahan; fars; gilan; golestan; hamadan; hormozgan; ilam; kerman; kermanshah; khuzestan; kohgiluyeh and buyer ahmad; kordestan; lorestan; markazi; mazandaran; north khorasan; qazvin; qom; razavi khorasan; semnan; sistan and baluchestan; south khorasan; tehran; west azarbaijan; yazd; zanjan"
